Age,M,F
0-4,329348422,306959155
5-9,316052341,295180318
10-14,310893293,291306513
15-19,317992340,300890727
20-24,299752630,286860591
25-29,266769254,257527907
30-34,254503830,246824636
35-39,244730899,239082534
40-44,222171335,218080323
45-49,191900376,189747330
50-54,168940212,169389928
55-59,136980468,140642843
60-64,101303810,106849262
65-69,81043511,89394287
70-74,62002315,73162351
75-79,40884605,53739255
80-84,22416430,34713310
85-89,9098823,16928466
90-94,2776887,6505469
95-99,575794,1785672
100+,45442,192746
